param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,k,ID
0.11269,1.88522,0.01114,1.54664,1.55299,1.11618,1.31943,1.49898,1.58385,1.71791,1.18341,0.49384,0.0,0.77145,7e-05,0.00014,1.94826,1.60781,0.01247,0.00884,80
0.26946,1.5238,0.05423,1.79768,1.09763,1.6306,0.77449,1.47734,1.50292,1.312,1.30238,0.42184,0.0341,0.86807,0.02338,0.00011,1.48753,1.16949,1e-05,0.04879,81
0.20596,1.63684,0.10667,2.15681,0.93836,1.89119,0.1962,1.54372,1.34039,1.11062,1.12672,0.62531,0.18464,0.64494,0.02771,0.00207,1.39482,1.20771,0.12305,0.03823,82
0.05543,1.55432,0.00813,1.79533,1.27738,0.74935,1.13193,1.45967,2.02418,1.36536,1.67903,0.41436,0.27417,0.81578,0.00089,0.00029,2.15211,1.923,0.00867,0.01648,83
0.11962,2.083,0.00346,1.85195,1.39539,1.6598,1.16109,1.35091,1.30173,1.57517,1.27783,0.42693,0.02132,0.86631,0.0399,0.00023,1.38393,1.04306,0.02103,0.06039,84
0.11497,1.3222,0.00141,2.02358,0.64422,1.53366,0.36488,1.68875,1.9987,1.07532,0.89554,0.57935,0.00086,0.64602,0.00116,0.06246,1.28031,1.45095,0.0004,0.04719,85
0.24664,1.51506,0.04518,2.09623,1.25956,0.5713,0.81935,1.53268,1.56142,0.92864,1.2648,0.47116,0.05539,0.79208,6e-05,9e-05,1.92649,1.0416,0.00022,0.06223,86
0.33272,1.68179,0.00896,2.21585,1.32913,1.85012,1.16746,1.75817,2.34714,1.61031,1.69963,0.3567,0.03211,0.90958,3e-05,0.00126,1.78019,1.37497,0.00139,0.06159,87
0.06161,1.47575,0.00058,2.14821,0.81197,1.82783,0.57267,1.40222,1.62599,1.03468,1.38417,0.38499,0.01654,1.0051,0.08728,0.00073,1.43711,1.03972,0.00616,0.06404,88
0.27265,2.09683,0.21159,2.21588,1.84431,1.90069,0.07893,2.67574,1.71204,1.12043,1.09321,0.50624,0.00042,0.73525,0.00753,0.00019,2.15246,0.70027,0.02845,0.02474,89
0.13297,1.50162,0.01827,2.2149,1.21938,1.39746,0.33735,1.37605,1.46252,1.26935,1.13338,0.61791,0.12861,0.61847,0.03659,0.00103,2.12279,1.76955,0.12771,0.04636,90
0.17352,1.51666,0.00197,1.85633,1.11723,0.87729,0.55388,1.50663,1.25945,0.80458,1.27316,0.51589,0.17066,0.7283,0.00091,0.0067,1.72432,0.83578,0.02684,0.0391,91
0.06336,2.1741,0.13231,2.48307,1.65273,1.93349,0.54435,2.23557,2.14095,1.88131,0.99805,0.62737,0.13229,0.64009,0.04635,0.00116,2.24517,2.06563,0.13808,0.03095,92
0.11898,1.83715,0.01052,1.85195,1.305,1.96644,0.65391,2.45061,2.05872,1.01947,1.41807,0.45033,0.21292,0.75307,0.0,0.00096,1.86514,0.51952,0.00013,0.00666,93
0.0847,2.24866,0.05252,2.30279,1.11962,2.10946,0.47038,2.20195,1.85359,1.03816,1.02486,0.57747,0.06585,0.62056,0.00091,1e-05,1.40528,0.6374,0.06993,0.02259,94
0.35047,2.19463,0.13554,2.44432,1.36547,2.16489,1.18481,1.30897,2.12676,1.60122,1.4005,0.52044,0.31367,0.66948,0.00264,3e-05,1.93675,1.75221,0.05074,0.00506,95
0.29132,2.2304,0.01445,1.91786,1.55515,1.55932,1.28602,2.33369,1.83862,1.38418,1.24009,0.48563,0.05081,0.78546,0.0005,0.0,1.50492,0.34111,0.00337,0.03932,96
0.34752,1.6202,0.00049,1.84572,1.33036,2.14005,0.99756,1.75124,2.19894,1.68746,1.51705,0.44022,0.23366,0.81279,0.00143,0.00023,1.9208,1.68502,0.00097,0.016,97
0.48717,1.36419,0.03776,1.86809,1.31477,1.93613,0.00042,1.92714,1.25652,1.30329,1.13076,0.53843,0.03226,0.75753,0.00408,0.00683,1.83468,1.27897,0.00993,0.05531,98
0.11587,2.16443,0.02782,2.20196,1.38786,0.90492,1.29168,1.96667,2.22901,0.99431,0.98344,0.54917,0.00352,0.66339,0.00513,0.00019,1.88209,0.72974,0.05295,0.00502,99
0.2407,1.59028,0.00116,1.65359,1.42089,1.27849,1.1644,1.51964,1.87979,1.8968,1.56263,0.47586,0.34975,0.75533,9e-05,0.0009,1.97645,2.12523,0.02991,0.02972,100
0.13186,1.58311,0.00011,2.06092,1.4038,1.1916,0.50841,0.93385,1.05024,1.23691,1.19499,0.47686,0.04598,0.77747,0.00538,0.00846,2.27234,1.6337,0.00069,0.04202,101
0.05487,1.76194,7e-05,1.96424,1.10153,0.13041,1.53807,2.19972,2.34839,0.9995,1.06578,0.54325,0.01811,0.66216,0.00745,5e-05,1.29841,0.44034,0.08665,0.06637,102
0.05093,1.74898,0.00544,1.67051,1.56087,1.69603,0.70544,1.70174,1.63819,1.7812,1.39435,0.47491,0.22219,0.75926,0.00015,0.0,2.16627,1.81829,0.01573,0.01573,103
0.05068,0.91988,0.0,1.89516,0.84898,1.70506,0.10885,1.76314,1.57982,0.93608,1.70082,0.30284,0.07132,0.91567,0.01889,0.00016,2.00163,1.33624,0.00447,0.08073,104
0.30983,0.92365,0.11837,2.05671,1.04475,1.22932,0.01187,1.02545,1.3585,1.05885,1.35487,0.52504,0.1663,0.68914,0.01024,0.0015,2.36124,2.16704,0.04762,0.02852,105
0.05263,1.14196,0.00144,1.60527,0.85793,1.58189,0.51225,1.80894,2.23128,1.1707,1.50216,0.39001,0.02237,0.86032,0.00987,0.00016,1.71417,1.74019,0.00049,0.02275,106
0.18972,1.59414,0.03542,1.73462,0.86309,1.33818,0.78458,2.2071,1.97126,0.64723,1.48256,0.45608,0.30013,0.75716,0.00291,1e-05,1.21501,0.18251,0.00704,0.02471,107
0.05097,1.549,0.00159,2.33061,1.17677,1.72424,0.00398,1.74068,1.48861,0.76791,1.17447,0.47273,0.00153,0.73887,0.0007,0.00228,2.30935,1.06143,0.02739,0.0251,108
0.22962,1.40571,0.004,1.75641,0.81535,0.53928,0.8279,1.66861,1.60669,0.65118,1.32096,0.58633,0.29122,0.68942,1e-05,0.0009,1.21318,0.56323,0.04323,0.05307,109
0.20636,1.19597,0.0,2.17583,0.77548,0.30614,0.75886,1.64445,2.16302,0.66792,1.30592,0.55132,0.38786,0.54566,0.0001,2e-05,1.6569,1.20567,0.09101,0.07916,110
0.21741,2.2173,0.00546,1.77199,1.21573,2.19425,0.40696,2.20662,1.19373,1.04245,1.04621,0.57542,0.06445,0.56235,0.00047,0.00288,1.05328,0.11625,0.06943,0.02678,111
0.06409,1.4743,0.00036,2.09846,1.05406,2.04085,0.17624,2.42774,1.67122,1.15912,1.57182,0.47355,0.3409,0.75596,0.00333,0.00235,1.62049,0.76319,0.02487,0.07186,112
0.1494,1.33767,0.06323,1.39203,1.10878,1.19052,0.65564,2.0533,1.65435,1.14816,1.38771,0.44369,0.13542,0.77254,0.00207,2e-05,1.63494,1.07116,0.02612,0.01995,113
0.0628,0.99124,0.01095,1.95162,1.0105,0.84652,0.48609,2.07727,2.22631,1.02219,1.68951,0.29816,0.01874,1.10227,0.06104,0.00031,2.16966,1.64358,0.0002,0.08087,114
